Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X µm	Centroid Y µm	Cell: Area	Cell: Perimeter	Cell: Circularity	Cell: Max caliper	Cell: Min caliper	Cell: Eccentricity	Cell: AF594 mean	Cell: AF594 std dev	Cell: AF594 max	Cell: AF594 min	Cytoplasm: AF594 mean	Cytoplasm: AF594 std dev	Cytoplasm: AF594 max	Cytoplasm: AF594 min
4.czi	6eb14a0c-62ba-42e8-b470-63b8789bef39	Cell			CTX	Polygon	3048.7	5939.4	1219.3823	127.478	0.9429	45.0254	33.7055	0.6629	456.7011	82.0233	898	279	426.8022	44.0704	557	279
4.czi	c258ee0d-6811-4f47-a1f2-be58c7eee786	Cell			CTX	Polygon	1687.3	5949.8	1643.9812	149.6363	0.9226	52.4713	41.498	0.6256	513.2515	210.5522	1263	221	409.1467	129.1341	739	221
4.czi	8a8a3961-ed9b-46b6-bbb1-81130f8efa09	Cell			CTX	Polygon	2886.1	5958.7	1650.5769	149.8736	0.9234	51.7981	38.5537	0.6518	685.7027	215.4938	1586	267	589.2648	117.3756	845	267
4.czi	2ef5d12d-de87-4d1b-9186-7776d5aeb44c	Cell			CTX	Polygon	2938.2	5974.9	1686.8533	152.7317	0.9087	56.2031	36.9692	0.7501	591.6888	161.7987	1502	273	524.3363	86.6927	743	273
4.czi	6f33dbf3-a4e1-436a-b141-6d0c30bacd6d	Cell			CTX	Polygon	2780.5	5971.7	1204.5419	125.2663	0.9646	42.2356	37.2038	0.4348	283.7457	64.3639	563	198	258.0682	19.03	337	198
4.czi	f4413fe3-cec0-428a-948c-c79f597aa3aa	Cell			CTX	Polygon	2025.5	5974.7	1383.4506	133.9245	0.9693	44.3641	40.1898	0.4268	410.2112	76.3829	708	227	383.049	64.0673	610	227
4.czi	780f3c4a-798b-4647-b009-ef643541b2fe	Cell			CTX	Polygon	2694.2	6001.2	1387.5729	134.2989	0.9668	44.2459	40.607	0.322	532.9988	150.1809	1600	270	472.1761	71.3589	731	270
4.czi	ead3db83-fbe3-40ae-9e1d-f3d04a10e654	Cell			CTX	Polygon	2612.2	6005.6	1103.1328	118.9929	0.979	39.3077	35.955	0.3786	275.2182	61.1806	641	210	256.5428	17.4203	318	210
4.czi	e813af0b-6932-41ce-b355-a58a11376b46	Cell			CTX	Polygon	2884	6016.3	1126.2178	120.5133	0.9745	39.4437	36.4901	0.3234	323.2473	153.5168	1002	215	264.9642	21.3301	345	215
4.czi	dad8b494-b76a-4c5c-865a-93e44e867014	Cell			CTX	Polygon	2962.1	6021.4	1320.7913	133.144	0.9363	46.024	37.2765	0.5947	491.0698	119.8498	1131	243	447.696	76.6602	781	243
4.czi	4f1d627b-c698-47f9-99fc-976899915130	Cell			CTX	Polygon	1958	6026.3	1796.5071	155.8317	0.9297	53.8338	41.4311	0.6359	479.5637	114.3208	1119	267	431.58	60.668	627	267
4.czi	fd7966a7-8d0e-4c10-a3ed-7e28ffeb8029	Cell			CTX	Polygon	2248.9	6027.1	1246.5896	128.3369	0.9511	43.8332	37.2772	0.5383	322.3818	55.6492	498	211	308.4781	52.7285	498	211
